,value
comprehensiveIncomeNetOfTax,95249000000
costOfRevenue,234954000000
costofGoodsAndServicesSold,212981000000
depreciation,9500000000
depreciationAndAmortization,11284000000
ebit,111852000000
ebitda,123136000000
fiscalDateEnding,2021-09-30
grossProfit,152836000000
incomeBeforeTax,109207000000
incomeTaxExpense,14527000000
interestAndDebtExpense,2645000000
interestExpense,2645000000
interestIncome,2843000000
investmentIncomeNet,2843000000
netIncome,94680000000
netIncomeFromContinuingOperations,94680000000
netInterestIncome,-2645000000
nonInterestIncome,365817000000
operatingExpenses,43887000000
operatingIncome,108949000000
otherNonOperatingIncome,60000000
reportedCurrency,USD
researchAndDevelopment,21914000000
sellingGeneralAndAdministrative,21973000000
totalRevenue,363172000000
