,value
comprehensiveIncomeNetOfTax,88531000000
costOfRevenue,248640000000
costofGoodsAndServicesSold,223546000000
depreciation,8700000000
depreciationAndAmortization,11104000000
ebit,122034000000
ebitda,133138000000
fiscalDateEnding,2022-09-30
grossProfit,170782000000
incomeBeforeTax,119103000000
incomeTaxExpense,19300000000
interestAndDebtExpense,2931000000
interestExpense,2931000000
interestIncome,106000000
investmentIncomeNet,2825000000
netIncome,99803000000
netIncomeFromContinuingOperations,99803000000
netInterestIncome,-2931000000
nonInterestIncome,394328000000
operatingExpenses,51345000000
operatingIncome,119437000000
otherNonOperatingIncome,-228000000
reportedCurrency,USD
researchAndDevelopment,26251000000
sellingGeneralAndAdministrative,25094000000
totalRevenue,391397000000
